"","unique_lt","annot_site_detected","alt_site_detected","riboseq_reads_detected"
"128","b0131_146694",TRUE,FALSE,TRUE
"129","b0132_146968",TRUE,FALSE,TRUE
"130","b0133_148795",TRUE,FALSE,TRUE
"131","b0134_149601",TRUE,FALSE,TRUE
"132","b0135_150953",TRUE,FALSE,TRUE
"133","b0136_151599",FALSE,TRUE,TRUE
"134","b0137_152231",TRUE,FALSE,TRUE
"135","b0138_152812",TRUE,FALSE,TRUE
"136","b0139_155426",TRUE,FALSE,TRUE
"137","b0140_156201",TRUE,TRUE,TRUE
"138","b0141_156883",TRUE,FALSE,TRUE
"139","b0142_157732",FALSE,FALSE,TRUE
"140","b0143_159126",FALSE,FALSE,TRUE
"141","b0144_160112",FALSE,TRUE,TRUE
"142","b0145_160604",TRUE,FALSE,TRUE
"143","b0146_161486",TRUE,FALSE,TRUE
"144","b0147_162031",FALSE,FALSE,FALSE
"145","b0148_162105",FALSE,FALSE,TRUE
"146","b0149_164730",TRUE,TRUE,TRUE
"147","b0150_167484",TRUE,FALSE,TRUE
"148","b0151_169778",FALSE,FALSE,FALSE
"149","b0152_170575",FALSE,TRUE,TRUE
"150","b0153_171462",FALSE,TRUE,TRUE
"151","b0154_174882",TRUE,FALSE,TRUE
"152","b0155_175107",TRUE,FALSE,TRUE
"153","b0156_176610",TRUE,FALSE,TRUE
"154","b0157_177624",TRUE,FALSE,TRUE
"155","b0158_178462",FALSE,FALSE,TRUE
"156","b0159_179153",TRUE,FALSE,TRUE
"157","b0160_179237",TRUE,FALSE,TRUE
"158","b0161_180884",TRUE,FALSE,TRUE
"159","b0162_182463",FALSE,FALSE,TRUE
"160","b0163_184095",TRUE,FALSE,TRUE
"161","b0164_185069",FALSE,TRUE,TRUE
"162","b0166_185947",TRUE,FALSE,TRUE
"163","b0167_188650",TRUE,FALSE,TRUE
"164","b0168_189506",FALSE,TRUE,TRUE
"165","b0169_189874",TRUE,FALSE,TRUE
"166","b0170_190857",TRUE,FALSE,TRUE
"167","b0171_191855",TRUE,FALSE,TRUE
"168","b0172_192872",TRUE,TRUE,TRUE
"169","b0173_193521",TRUE,FALSE,TRUE
"170","b0174_194903",TRUE,FALSE,TRUE
"171","b0175_195677",FALSE,FALSE,TRUE
"172","b0176_196546",TRUE,FALSE,TRUE
"173","b0177_197928",TRUE,FALSE,TRUE
"174","b0178_200482",TRUE,TRUE,TRUE
"175","b0179_200971",FALSE,FALSE,FALSE
"176","b0180_202101",TRUE,FALSE,TRUE
"177","b0181_202560",TRUE,FALSE,TRUE
"178","b0182_203348",FALSE,FALSE,FALSE
"179","b0183_204493",TRUE,TRUE,TRUE
"180","b0184_205126",FALSE,FALSE,TRUE
"181","b0185_208621",TRUE,TRUE,TRUE
"182","b0186_209679",TRUE,FALSE,TRUE
"183","b0187_211877",TRUE,FALSE,TRUE
"184","b0188_212331",FALSE,FALSE,TRUE
"185","b0189_213932",TRUE,TRUE,TRUE
"186","b4406_214125",TRUE,TRUE,TRUE
"187","b0190_214291",FALSE,FALSE,TRUE
"188","b0191_214833",FALSE,FALSE,TRUE
"189","b0192_215269",TRUE,FALSE,TRUE
"190","b0193_217003",TRUE,FALSE,TRUE
"191","b0194_218775",TRUE,FALSE,TRUE
"192","b0195_219594",FALSE,FALSE,FALSE
"193","b0196_219995",TRUE,FALSE,TRUE
"194","b0197_220928",TRUE,FALSE,TRUE
"195","b0198_221621",TRUE,FALSE,TRUE
"196","b0199_222645",TRUE,FALSE,TRUE
"197","b0200_222833",TRUE,TRUE,TRUE
"198","b0207_229167",FALSE,FALSE,FALSE
"199","b0208_230881",TRUE,FALSE,TRUE
"200","b0209_231122",TRUE,FALSE,TRUE
"201","b0210_231926",FALSE,FALSE,FALSE
"202","b0211_233955",FALSE,FALSE,TRUE
"203","b0212_234782",TRUE,FALSE,TRUE
"204","b0213_234816",TRUE,FALSE,TRUE
"205","b0214_236002",TRUE,FALSE,TRUE
"206","b0215_236067",TRUE,FALSE,TRUE
"207","b0217_237335",FALSE,FALSE,FALSE
"208","b4586_238736",TRUE,FALSE,TRUE
"209","b0218_239102",FALSE,TRUE,TRUE
"210","b4503_239106",FALSE,FALSE,TRUE
"211","b0219_240189",FALSE,FALSE,TRUE
"212","b0220_240343",TRUE,TRUE,TRUE
"213","b0221_243303",TRUE,FALSE,TRUE
"214","b0222_243543",TRUE,FALSE,TRUE
"215","b0223_244327",TRUE,FALSE,TRUE
"216","b0224_245805",TRUE,FALSE,TRUE
"217","b0225_246239",TRUE,TRUE,TRUE
"218","b0226_246502",TRUE,FALSE,TRUE
"219","b0227_246712",FALSE,TRUE,TRUE
"220","b0228_247637",TRUE,TRUE,TRUE
"221","b0229_250070",FALSE,FALSE,FALSE
"222","b0230_250072",FALSE,FALSE,FALSE
"223","b0231_250898",TRUE,FALSE,TRUE
"224","b0232_252005",TRUE,TRUE,TRUE
"225","b0233_252301",TRUE,TRUE,TRUE
"226","b0234_252709",FALSE,FALSE,TRUE
"227","b0235_253479",TRUE,FALSE,TRUE
"228","b0236_253702",FALSE,FALSE,FALSE
"229","b0237_255716",FALSE,FALSE,TRUE
"230","b0238_255977",TRUE,FALSE,TRUE
"231","b0239_256527",FALSE,FALSE,TRUE
"232","b0240_257829",TRUE,FALSE,TRUE
"233","b0240_258676",FALSE,FALSE,TRUE
"234","b0241_260100",TRUE,FALSE,TRUE
"235","b0242_260388",TRUE,FALSE,TRUE
"236","b0243_261503",TRUE,FALSE,TRUE
"237","b4626_263212",TRUE,FALSE,TRUE
"238","b0245_263669",TRUE,FALSE,TRUE
"239","b0246_264007",TRUE,FALSE,TRUE
"240","b4504_264247",TRUE,TRUE,TRUE
"241","b0247_264732",TRUE,TRUE,TRUE
"242","b0248_265206",FALSE,FALSE,TRUE
"243","b0249_265543",FALSE,FALSE,TRUE
"244","b0250_266087",TRUE,FALSE,TRUE
"245","b0251_266553",FALSE,FALSE,TRUE
"246","b4627_266774",FALSE,FALSE,TRUE
"247","b4628_266967",TRUE,FALSE,TRUE
"248","b0252_268005",FALSE,FALSE,TRUE
"249","b0253_268960",TRUE,FALSE,TRUE
"250","b0254_270182",TRUE,FALSE,TRUE
"251","b4587_270278",TRUE,FALSE,TRUE
"252","b4587_271764",FALSE,FALSE,TRUE
"253","b0256_270603",FALSE,FALSE,FALSE
"254","b0258_272847",TRUE,FALSE,TRUE
"255","b0259_275117",FALSE,FALSE,FALSE
"256","b0260_275325",TRUE,FALSE,TRUE
"257","b0261_276715",TRUE,FALSE,TRUE
"258","b0262_278802",TRUE,FALSE,TRUE
"259","b0263_279161",FALSE,FALSE,FALSE
"260","b0264_279681",FALSE,FALSE,FALSE
"261","b0265_279875",FALSE,FALSE,FALSE
"262","b4708_279931",FALSE,TRUE,TRUE
"263","b4505_280362",TRUE,FALSE,TRUE
"264","b0266_280735",TRUE,TRUE,TRUE
"265","b0267_281983",FALSE,TRUE,TRUE
"266","b0268_282278",TRUE,FALSE,TRUE
"267","b0269_283201",FALSE,FALSE,TRUE
"268","b0270_285395",TRUE,FALSE,TRUE
"269","b0271_286789",TRUE,FALSE,TRUE
"270","b0272_289162",FALSE,FALSE,TRUE
"271","b0273_290305",TRUE,FALSE,TRUE
"272","b4688_290429",FALSE,TRUE,TRUE
"273","b0274_291152",FALSE,FALSE,FALSE
"274","b0275_291346",FALSE,FALSE,FALSE
"275","b0276_291404",FALSE,TRUE,TRUE
"276","b0277_292948",TRUE,FALSE,TRUE
"277","b0278_293918",TRUE,FALSE,TRUE
"278","b0279_294799",TRUE,FALSE,TRUE
"279","b0280_295579",TRUE,FALSE,TRUE
"280","b0281_297096",FALSE,TRUE,TRUE
"281","b4694_297719",FALSE,TRUE,TRUE
"282","b4695_297791",FALSE,FALSE,TRUE
"283","b0283_298726",TRUE,FALSE,TRUE
"284","b0284_300934",TRUE,TRUE,TRUE
"285","b0285_301887",TRUE,FALSE,TRUE
"286","b0286_302573",FALSE,FALSE,TRUE
"287","b0287_302991",TRUE,FALSE,TRUE
"288","b0288_304182",TRUE,FALSE,TRUE
"289","b0289_305205",TRUE,FALSE,TRUE
"290","b0290_306817",TRUE,FALSE,TRUE
"291","b0291_309332",TRUE,FALSE,TRUE
"292","b0292_310026",FALSE,FALSE,TRUE
"293","b0293_310671",TRUE,FALSE,TRUE
"294","b0294_311336",FALSE,FALSE,TRUE
"295","b0295_312112",TRUE,TRUE,TRUE
"296","b4506_312514",TRUE,TRUE,TRUE
"297","b0296_312777",TRUE,TRUE,TRUE
"298","b4671_313242",TRUE,FALSE,TRUE
"299","b4630_313805",FALSE,TRUE,TRUE
"300","b0297_314357",TRUE,FALSE,TRUE
"301","b0298_315291",FALSE,FALSE,FALSE
"302","b0299_315587",FALSE,FALSE,FALSE
"303","b0300_317169",FALSE,TRUE,TRUE
"304","b4631_317439",FALSE,FALSE,TRUE
"305","b0301_318319",TRUE,FALSE,TRUE
"306","b0303_318567",FALSE,FALSE,TRUE
"307","b0304_320001",TRUE,FALSE,TRUE
"308","b0305_320227",TRUE,TRUE,TRUE
"309","b0306_321608",TRUE,FALSE,TRUE
"310","b0307_322338",TRUE,FALSE,TRUE
"311","b0308_323758",TRUE,FALSE,TRUE
"312","b0310_325364",FALSE,TRUE,TRUE
"313","b0311_327247",TRUE,FALSE,TRUE
"314","b0312_328733",TRUE,TRUE,TRUE
"315","b0313_329334",FALSE,FALSE,TRUE
"316","b0314_329463",TRUE,FALSE,TRUE
"317","b0315_332371",TRUE,TRUE,TRUE
"318","b0316_334433",FALSE,TRUE,TRUE
"319","b0317_335022",TRUE,FALSE,TRUE
"320","b0318_335280",TRUE,FALSE,TRUE
"321","b0319_335925",FALSE,FALSE,TRUE
"322","b0320_336778",TRUE,FALSE,TRUE
"323","b0321_338325",TRUE,TRUE,TRUE
"324","b0323_340165",TRUE,FALSE,TRUE
"325","b0324_341125",TRUE,FALSE,TRUE
"326","b0325_342884",TRUE,FALSE,TRUE
"327","b0326_344176",TRUE,FALSE,TRUE
"328","b0327_345404",FALSE,TRUE,TRUE
"329","b0328_346337",TRUE,TRUE,TRUE
"330","b0329_346484",TRUE,FALSE,TRUE
"331","b0330_348443",FALSE,FALSE,TRUE
"332","b0331_348682",TRUE,FALSE,TRUE
"333","b0333_350012",TRUE,FALSE,TRUE
"334","b0334_351215",TRUE,FALSE,TRUE
"335","b0335_352706",TRUE,FALSE,TRUE
"336","b0336_354922",TRUE,FALSE,TRUE
"337","b0337_356171",TRUE,FALSE,TRUE
"338","b0338_358690",TRUE,TRUE,TRUE
"339","b0339_358799",TRUE,TRUE,TRUE
"340","b0340_359489",TRUE,FALSE,TRUE
"341","b0341_359992",TRUE,FALSE,TRUE
"342","b0342_361860",TRUE,TRUE,TRUE
"343","b0343_363179",FALSE,FALSE,TRUE
"344","b0344_366305",TRUE,FALSE,TRUE
"345","b0345_367510",TRUE,FALSE,TRUE
"346","b0346_368420",TRUE,FALSE,TRUE
"347","b0347_368611",TRUE,FALSE,TRUE
"348","b0348_370277",FALSE,FALSE,TRUE
"349","b0349_371239",TRUE,FALSE,TRUE
"350","b0350_372115",TRUE,FALSE,TRUE
"351","b0351_372921",TRUE,FALSE,TRUE
"352","b0352_373868",TRUE,FALSE,TRUE
"353","b0353_375459",FALSE,FALSE,TRUE
"354","b0354_376772",TRUE,FALSE,TRUE
"355","b0355_378368",FALSE,TRUE,TRUE
"356","b0356_379571",TRUE,FALSE,TRUE
"357","b0357_379881",TRUE,TRUE,TRUE
"358","b0358_380842",TRUE,FALSE,TRUE
"359","b4579_382872",TRUE,TRUE,TRUE
"360","b4579_381260",FALSE,TRUE,TRUE
"361","b0360_381351",FALSE,FALSE,FALSE
"362","b0361_381674",FALSE,FALSE,FALSE
"363","b0363_383935",TRUE,FALSE,TRUE
"364","b0364_384616",TRUE,FALSE,TRUE
"365","b0365_385232",TRUE,FALSE,TRUE
"366","b0366_386207",FALSE,FALSE,TRUE
"367","b0367_386971",FALSE,TRUE,TRUE
"368","b0368_387795",FALSE,FALSE,TRUE
"369","b0369_389727",TRUE,FALSE,TRUE
"370","b4580_390251",TRUE,TRUE,TRUE
"371","b4580_392970",FALSE,FALSE,TRUE
"372","b0372_392605",FALSE,FALSE,FALSE
"373","b0373_392901",FALSE,FALSE,FALSE
"374","b0375_394506",TRUE,FALSE,TRUE
"375","b0376_396287",TRUE,FALSE,TRUE
"376","b0377_396639",TRUE,FALSE,TRUE
"377","b0378_397872",TRUE,TRUE,TRUE
"378","b0379_399333",TRUE,FALSE,TRUE
"379","b0380_399593",TRUE,FALSE,TRUE
"380","b0381_400923",TRUE,FALSE,TRUE
"381","b0382_401386",TRUE,FALSE,TRUE
"382","b0383_401747",TRUE,FALSE,TRUE
"383","b0384_403281",TRUE,FALSE,TRUE
"384","b0385_403703",FALSE,FALSE,TRUE
"385","b0386_405644",TRUE,FALSE,TRUE
"386","b0387_405764",TRUE,TRUE,TRUE
"387","b0388_406405",FALSE,FALSE,TRUE
"388","b0389_406979",TRUE,TRUE,TRUE
"389","b0390_407428",TRUE,FALSE,TRUE
"390","b0391_408177",TRUE,FALSE,TRUE
"391","b0392_408609",FALSE,TRUE,TRUE
"392","b0393_410019",FALSE,TRUE,TRUE
"393","b0394_410144",TRUE,FALSE,TRUE
"394","b0396_412481",TRUE,FALSE,TRUE
"395","b0397_415753",FALSE,TRUE,TRUE
"396","b0398_416952",FALSE,FALSE,FALSE
"397","b0399_417142",FALSE,FALSE,TRUE
"398","b0400_417889",TRUE,FALSE,TRUE
"399","b0401_419591",FALSE,FALSE,TRUE
"400","b0402_420986",TRUE,FALSE,TRUE
"401","b0403_422518",TRUE,FALSE,TRUE
"402","b0404_424918",TRUE,TRUE,TRUE
"403","b0405_425011",FALSE,FALSE,FALSE
"404","b0406_426137",TRUE,FALSE,TRUE
"405","b0407_427287",TRUE,TRUE,TRUE
"406","b0408_427647",TRUE,FALSE,TRUE
"407","b0409_429505",TRUE,TRUE,TRUE
"408","b0410_430605",FALSE,FALSE,TRUE
"409","b0411_432013",FALSE,FALSE,TRUE
"410","b0412_432851",TRUE,FALSE,TRUE
"411","b0413_433002",FALSE,TRUE,TRUE
"412","b0414_433455",FALSE,FALSE,TRUE
"413","b0415_434647",TRUE,FALSE,TRUE
"414","b0416_435137",FALSE,FALSE,TRUE
"415","b0417_435634",FALSE,FALSE,TRUE
"416","b0418_436589",FALSE,FALSE,TRUE
"417","b0419_438135",TRUE,FALSE,TRUE
"418","b0420_440177",TRUE,FALSE,TRUE
"419","b0421_441101",TRUE,FALSE,TRUE
"420","b0422_441343",TRUE,FALSE,TRUE
"421","b0423_441549",FALSE,FALSE,TRUE
"422","b0424_443641",TRUE,FALSE,TRUE
"423","b0425_444515",TRUE,FALSE,TRUE
"424","b0426_444683",TRUE,FALSE,TRUE
"425","b0427_446666",TRUE,FALSE,TRUE
"426","b0428_447705",FALSE,FALSE,TRUE
"427","b0429_448046",TRUE,TRUE,TRUE
"428","b0430_448660",TRUE,FALSE,TRUE
"429","b0431_450641",TRUE,FALSE,TRUE
"430","b0432_451610",TRUE,FALSE,TRUE
"431","b0433_453545",FALSE,FALSE,FALSE
"432","b0434_454167",TRUE,FALSE,TRUE
"433","b0435_454472",TRUE,FALSE,TRUE
"434","b0436_455133",TRUE,FALSE,TRUE
"435","b0437_456677",TRUE,FALSE,TRUE
"436","b0438_457426",TRUE,TRUE,TRUE
"437","b0439_458888",TRUE,FALSE,TRUE
"438","b0440_461451",TRUE,TRUE,TRUE
"439","b0441_461915",FALSE,FALSE,TRUE
"440","b0442_463937",TRUE,FALSE,TRUE
"441","b0443_464402",TRUE,FALSE,TRUE
"442","b0444_465547",TRUE,TRUE,TRUE
"443","b0445_467312",FALSE,FALSE,TRUE
"444","b0446_467412",TRUE,FALSE,TRUE
"445","b0447_468383",TRUE,TRUE,TRUE
"446","b0448_468871",FALSE,FALSE,TRUE
"447","b0449_470636",TRUE,FALSE,TRUE
"448","b0450_472598",TRUE,FALSE,TRUE
"449","b0451_472966",TRUE,FALSE,TRUE
"450","b0452_475161",TRUE,FALSE,TRUE
"451","b0453_475379",TRUE,FALSE,TRUE
"452","b0454_476371",FALSE,FALSE,TRUE
"453","b0456_476672",TRUE,FALSE,TRUE
"454","b0457_478617",TRUE,TRUE,TRUE
"455","b0458_479251",FALSE,FALSE,TRUE
"456","b0459_479918",TRUE,FALSE,TRUE
"457","b0460_480308",TRUE,FALSE,TRUE
"458","b0461_480708",TRUE,FALSE,TRUE
"459","b0462_484403",TRUE,FALSE,TRUE
"460","b0463_485619",TRUE,FALSE,TRUE
"461","b0464_485761",FALSE,FALSE,TRUE
"462","b0465_486536",FALSE,FALSE,FALSE
"463","b0466_490271",FALSE,FALSE,TRUE
"464","b0467_490812",TRUE,FALSE,TRUE
"465","b0468_490882",TRUE,TRUE,TRUE
"466","b0469_491412",FALSE,FALSE,TRUE
"467","b0470_492092",TRUE,TRUE,TRUE
"468","b0471_494076",TRUE,TRUE,TRUE
"469","b0472_494405",FALSE,FALSE,FALSE
"470","b0473_495120",TRUE,FALSE,TRUE
"471","b0474_497175",TRUE,TRUE,TRUE
"472","b0475_498055",TRUE,FALSE,TRUE
"473","b0476_499973",TRUE,FALSE,TRUE
"474","b0477_500125",FALSE,FALSE,FALSE
"475","b0478_503238",TRUE,FALSE,TRUE
"476","b0479_504696",TRUE,FALSE,TRUE
"477","b0480_504914",TRUE,TRUE,TRUE
"478","b0481_507082",FALSE,FALSE,FALSE
"479","b0482_508080",TRUE,FALSE,TRUE
"480","b0483_508218",TRUE,FALSE,TRUE
"481","b0484_511379",TRUE,TRUE,TRUE
"482","b0485_511641",TRUE,FALSE,TRUE
"483","b0486_512576",TRUE,FALSE,TRUE
"484","b0487_513993",TRUE,FALSE,TRUE
"485","b0488_514859",TRUE,FALSE,TRUE
"486","b0489_515773",TRUE,FALSE,TRUE
"487","b0490_515919",TRUE,FALSE,TRUE
"488","b0491_516583",FALSE,FALSE,TRUE
"489","b0492_518279",TRUE,FALSE,TRUE
"490","b0493_519149",FALSE,TRUE,TRUE
"491","b0494_519765",FALSE,FALSE,FALSE
"492","b0495_519733",FALSE,FALSE,TRUE
"493","b0496_520416",TRUE,TRUE,TRUE
"494","b0497_523261",TRUE,FALSE,TRUE
"495","b0498_527581",TRUE,FALSE,TRUE
"496","b0499_527952",FALSE,FALSE,TRUE
"497","b0501_528640",TRUE,TRUE,TRUE
"498","b4632_529500",FALSE,FALSE,TRUE
"499","b0502_530016",TRUE,FALSE,TRUE
"500","b0502_529660",FALSE,FALSE,TRUE
"501","b0503_531226",FALSE,FALSE,TRUE
"502","b0504_532221",TRUE,TRUE,TRUE
"503","b0505_532451",TRUE,FALSE,TRUE
"504","b0506_533011",FALSE,FALSE,TRUE
"505","b0507_533916",TRUE,FALSE,TRUE
"506","b0508_535710",FALSE,FALSE,TRUE
"507","b0509_536586",TRUE,FALSE,TRUE
"508","b0511_537633",TRUE,FALSE,TRUE
"509","b0512_539147",TRUE,FALSE,TRUE
"510","b0513_540565",FALSE,FALSE,TRUE
"511","b0514_541888",TRUE,TRUE,TRUE
"512","b0515_544046",TRUE,FALSE,TRUE
"513","b0516_545292",TRUE,FALSE,TRUE
"514","b0517_546363",TRUE,FALSE,TRUE
"515","b0518_546680",FALSE,TRUE,TRUE
"516","b4572_548357",TRUE,TRUE,TRUE
"517","b0520_549627",FALSE,FALSE,TRUE
"518","b0521_550439",FALSE,TRUE,TRUE
"519","b0522_552594",FALSE,FALSE,FALSE
"520","b0523_553100",FALSE,FALSE,TRUE
"521","b0524_553940",FALSE,TRUE,TRUE
"522","b0525_554437",TRUE,FALSE,TRUE
"523","b0526_554611",FALSE,FALSE,TRUE
"524","b0527_556553",FALSE,FALSE,FALSE
"525","b0528_556873",FALSE,FALSE,TRUE
"526","b0529_557741",TRUE,TRUE,TRUE
"527","b0530_558212",TRUE,FALSE,TRUE
"528","b0531_558974",TRUE,TRUE,TRUE
"529","b0532_559697",FALSE,FALSE,TRUE
"530","b0533_562336",FALSE,TRUE,TRUE
"531","b0534_563330",TRUE,FALSE,TRUE
"532","b0535_564480",FALSE,FALSE,TRUE
"533","b0537_565978",FALSE,FALSE,FALSE
"534","b4633_566079",FALSE,FALSE,FALSE
"535","b0539_566376",FALSE,FALSE,FALSE
"536","b4508_566376",FALSE,FALSE,FALSE
"537","b0542_566684",TRUE,FALSE,TRUE
"538","b0542_568035",FALSE,TRUE,TRUE
"539","b0540_566842",FALSE,FALSE,FALSE
"540","b0541_567138",FALSE,FALSE,FALSE
"541","b0543_568315",TRUE,FALSE,TRUE
"542","b0544_568902",TRUE,FALSE,TRUE
"543","b0545_570893",FALSE,TRUE,TRUE
"544","b0546_571454",FALSE,FALSE,TRUE
"545","b4588_572368",FALSE,FALSE,FALSE
"546","b0547_572466",FALSE,TRUE,TRUE
"547","b0548_572921",FALSE,FALSE,TRUE
"548","b0549_573084",TRUE,FALSE,TRUE
"549","b0550_573371",TRUE,FALSE,TRUE
"550","b4509_573730",TRUE,TRUE,TRUE
"551","b0551_573956",TRUE,FALSE,TRUE
"552","b0553_576825",TRUE,FALSE,TRUE
"553","b0553_574586",FALSE,FALSE,TRUE
"554","b0552_575753",FALSE,FALSE,FALSE
"555","b0554_577398",FALSE,FALSE,TRUE
"556","b0555_577613",FALSE,FALSE,TRUE
"557","b0556_578107",TRUE,TRUE,TRUE
