# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "gene,sRNA" "-g" "locus_tag" "-a" "startpeaks_cds.gff" "-o" "../rna_align/startpeaks_ctable.txt" "../rna_align/01_no_PNA.bam" "../rna_align/02_PNA15_5000pM.bam" "../rna_align/03_PNA15_500pM.bam" "../rna_align/04_PNA15_100pM.bam" "../rna_align/05_PNA15_10pM.bam" "../rna_align/06_PNA14_5000pM.bam" "../rna_align/07_no_PNA.bam" "../rna_align/08_PNA15_5000pM.bam" "../rna_align/09_PNA15_500pM.bam" "../rna_align/10_PNA15_100pM.bam" "../rna_align/11_PNA15_10pM.bam" "../rna_align/12_PNA14_5000pM.bam" "../rna_align/13_no_PNA.bam" "../rna_align/14_PNA15_5000pM.bam" "../rna_align/15_PNA15_500pM.bam" "../rna_align/16_PNA15_100pM.bam" "../rna_align/17_PNA15_10pM.bam" "../rna_align/18_PNA14_5000pM.bam" "../rna_align/73_RNA_input_control.bam" "../rna_align/79_no_PNA.bam" "../rna_align/85_no_PNA.bam" 
Geneid	Chr	Start	End	Strand	Length	../rna_align/01_no_PNA.bam	../rna_align/02_PNA15_5000pM.bam	../rna_align/03_PNA15_500pM.bam	../rna_align/04_PNA15_100pM.bam	../rna_align/05_PNA15_10pM.bam	../rna_align/06_PNA14_5000pM.bam	../rna_align/07_no_PNA.bam	../rna_align/08_PNA15_5000pM.bam	../rna_align/09_PNA15_500pM.bam	../rna_align/10_PNA15_100pM.bam	../rna_align/11_PNA15_10pM.bam	../rna_align/12_PNA14_5000pM.bam	../rna_align/13_no_PNA.bam	../rna_align/14_PNA15_5000pM.bam	../rna_align/15_PNA15_500pM.bam	../rna_align/16_PNA15_100pM.bam	../rna_align/17_PNA15_10pM.bam	../rna_align/18_PNA14_5000pM.bam	../rna_align/73_RNA_input_control.bam	../rna_align/79_no_PNA.bam	../rna_align/85_no_PNA.bam
b0068	b0068_thiB_75480_-1	37	80	-	44	59	67	38	62	46	52	63	26	42	27	40	56	61	58	67	68	63	78	864	44	50
b0069	b0069_sgrR_77299_-1	37	80	-	44	57	80	71	59	57	78	91	37	58	33	49	69	96	93	105	82	115	81	309	75	59
b4662	b4662_sgrT_77388_1	37	80	+	44	54	73	72	74	72	58	85	20	59	24	36	55	54	72	85	59	76	62	2431	53	63
b0070	b0070_setA_77621_1	37	80	+	44	59	48	52	54	44	32	40	27	45	47	36	43	56	74	60	56	56	76	606	31	27
b0071	b0071_leuD_79453_-1	37	80	-	44	173	260	236	273	268	242	326	123	235	129	179	310	217	315	347	248	324	263	818	256	214
b0072	b0072_leuC_80864_-1	37	80	-	44	98	137	148	129	148	114	115	106	127	94	89	157	105	114	115	155	141	103	420	123	69
b0073	b0073_leuB_81958_-1	37	80	-	44	5170	6245	6120	5437	6149	5663	5296	3781	6304	5237	4089	5747	5492	4803	5373	5773	5203	5237	1992	4092	3626
b0074	b0074_leuA_83529_-1	37	80	-	44	71	83	81	94	91	77	76	45	97	38	48	98	96	68	120	111	108	104	163	69	64
b0075	b0075_leuL_83708_-1	37	80	-	44	37	78	81	61	64	64	65	62	62	43	45	75	51	52	68	71	51	67	443	52	40
b0076	b0076_leuO_84368_1	37	80	+	44	701	883	963	680	1010	640	711	557	685	492	585	887	775	883	846	1092	798	1012	1724	496	434
b0077	b0077_ilvI_85630_1	37	80	+	44	1274	1592	1796	1332	1583	1383	1512	1253	1554	1398	1127	1538	1761	1620	1569	1832	1580	1664	330	1274	1119
b0078	b0078_ilvH_87357_1	37	80	+	44	153	219	219	214	202	185	202	102	179	124	142	190	293	291	292	204	259	222	955	191	138
b0080	b0080_cra_88028_1	37	80	+	44	214	277	289	353	331	264	379	250	281	272	229	317	252	260	286	335	297	218	184	334	273
b0081	b0081_mraZ_89634_1	37	80	+	44	79	81	82	60	65	57	73	54	57	57	59	82	67	94	65	69	84	66	111	67	58
b0082	b0082_rsmH_90094_1	37	80	+	44	46	73	46	59	50	67	62	35	36	27	28	65	47	41	48	63	64	52	697	41	30
b0083	b0083_ftsL_91032_1	37	80	+	44	81	81	80	62	67	49	76	51	67	56	50	51	75	70	72	75	79	64	10320	54	56
b0084	b0084_ftsI_91413_1	37	80	+	44	279	696	397	759	476	642	644	254	522	251	363	496	418	523	719	435	654	441	1588	523	464
b0085	b0085_murE_93166_1	37	80	+	44	211	277	306	231	275	280	277	248	273	239	192	379	342	348	322	335	314	304	2336	338	251
b0086	b0086_murF_94650_1	37	80	+	44	33	39	33	37	35	26	35	25	28	14	20	30	27	46	30	34	35	41	1144	23	29
b0087	b0087_mraY_96002_1	37	80	+	44	2417	2955	3302	2540	2667	2623	2419	2009	2632	1463	1787	2704	3613	3666	3630	3736	3361	3744	293	2134	1941
b0088	b0088_murD_97087_1	37	80	+	44	92	128	108	100	113	94	100	78	103	53	54	97	117	135	120	111	100	111	221	82	68
b0089	b0089_ftsW_98403_1	37	80	+	44	39	40	52	43	39	29	27	24	24	23	35	44	44	47	40	40	41	33	878	38	21
b0090	b0090_murG_99644_1	37	80	+	44	814	1674	1185	1899	1470	1655	1444	932	1441	1038	1040	1890	1506	2079	2172	1531	1765	1713	1066	1689	1433
b0091	b0091_murC_100765_1	37	80	+	44	2172	2859	1897	2356	1836	2083	2329	905	1938	1127	1391	1785	1372	1863	2290	1565	2198	1438	2638	1564	1557
b0092	b0092_ddlB_102233_1	37	80	+	44	550	595	598	505	578	506	590	428	585	308	361	464	852	742	827	859	773	717	1726	373	296
b0093	b0093_ftsQ_103155_1	37	80	+	44	44	80	74	56	54	59	62	35	64	39	44	45	43	80	78	64	80	62	1618	53	45
b0094	b0094_ftsA_103982_1	37	80	+	44	44	51	57	45	48	49	54	45	39	30	32	38	50	65	51	65	56	49	289	61	38
b0095	b0095_ftsZ_105305_1	37	80	+	44	2344	2571	2713	2387	3034	2583	2324	1701	2540	2257	1817	2366	2240	2062	2107	2268	2114	1973	659	1698	1350
b0096	b0096_lpxC_106557_1	37	80	+	44	2018	2960	3383	3183	3241	3001	3157	2423	3053	2497	2261	3372	2973	2663	3165	3441	2825	3202	956	2804	2587
b0097	b0097_secM_107705_1	37	80	+	44	1182	1272	1339	1057	1311	1084	1125	892	1276	875	846	1278	1249	1388	1355	1408	1270	1423	4370	919	873
b0098	b0098_secA_108279_1	37	80	+	44	19	26	16	26	11	30	24	16	15	7	14	19	25	23	38	28	27	30	759	24	18
b0099	b0099_mutT_111044_1	37	80	+	44	132	282	132	341	183	253	275	89	221	92	142	159	159	226	304	191	265	164	687	214	206
b0101	b0101_yacG_111846_-1	37	80	-	44	438	603	508	547	499	568	514	333	668	396	359	548	629	493	681	473	501	574	207	385	341
b0102	b0102_zapD_112599_-1	37	80	-	44	244	342	304	367	285	389	328	214	316	182	187	310	281	302	375	319	337	316	4046	246	217
b0103	b0103_coaE_113219_-1	37	80	-	44	834	908	1116	856	983	982	800	586	603	458	554	881	1173	1216	1208	1324	1200	1580	4395	627	716
b0104	b0104_guaC_113444_1	37	80	+	44	108	187	160	158	146	164	156	104	168	141	107	147	125	143	149	123	150	122	1709	120	128
b0106	b0106_hofC_115724_-1	37	80	-	44	82	125	155	126	123	105	98	82	83	60	80	155	124	156	126	160	124	165	21515	73	102
b0107	b0107_hofB_117099_-1	37	80	-	44	134	219	190	221	187	190	187	125	173	110	110	189	171	192	243	169	188	174	2390	148	129
b0108	b0108_ppdD_117549_-1	37	80	-	44	11918	13815	15200	13224	13726	12757	10808	8046	12044	8790	8529	11927	13027	11739	12943	14700	12196	13489	2461	9409	8539
b0109	b0109_nadC_118645_-1	37	80	-	44	51	72	59	51	59	52	56	30	44	28	36	47	37	55	64	69	70	61	953	49	36
b0110	b0110_ampD_118733_1	37	80	+	44	3921	4729	6115	4127	5136	4393	3916	3813	4158	2925	3377	4619	7235	5716	5841	6917	5306	6552	602	2775	2418
b0111	b0111_ampE_119281_1	37	80	+	44	971	974	878	903	912	877	932	575	901	596	608	881	736	793	843	902	852	777	1997	707	584
b0112	b0112_aroP_121551_-1	37	80	-	44	272	403	300	321	324	334	439	281	347	179	255	313	315	538	525	440	449	405	441	457	291
b0113	b0113_pdhR_122092_1	37	80	+	44	35	44	42	39	38	27	44	26	39	18	21	42	35	48	51	35	47	28	354	31	30
b0114	b0114_aceE_123017_1	37	80	+	44	125	177	162	178	184	160	272	102	192	121	138	149	322	355	471	398	462	324	333	139	93
b0115	b0115_aceF_125695_1	37	80	+	44	576	879	743	829	812	790	872	586	1014	730	563	741	849	881	973	758	918	742	508	670	479
b0116	b0116_lpd_127912_1	37	80	+	44	9590	21421	12225	20448	14308	17264	17102	7562	14700	10187	11481	15570	13508	16946	20884	12357	21022	12980	3510	14970	13202
b0117	b0117_yacH_131260_-1	37	80	-	44	1681	2035	1908	1836	1828	1863	1930	1278	2403	2017	1448	2053	1896	1719	1925	1833	1859	1559	3062	1233	1029
b0118	b0118_acnB_131615_1	37	80	+	44	6931	9895	9412	9148	8602	8650	9224	5789	9395	6226	6273	8152	7912	7851	9013	8474	9005	7739	4991	8768	7651
b0119	b0119_yacL_134388_1	37	80	+	44	652	1000	920	967	853	946	937	737	958	542	615	772	1032	1014	1179	1077	1119	1007	140	828	604
b0120	b0120_speD_135582_-1	37	80	-	44	670	858	971	742	922	886	740	673	732	637	594	803	824	661	764	791	705	978	424	487	435
b0121	b0121_speE_136464_-1	37	80	-	44	3180	3950	3309	3867	3398	3759	3798	2239	3984	2909	2571	4012	3851	4085	5006	4185	4442	3231	3127	3015	2264
b0122	b0122_yacC_136917_-1	37	80	-	44	13	18	11	15	10	18	15	8	19	5	11	13	9	10	12	13	9	16	712	15	10
b0123	b0123_cueO_137083_1	37	80	+	44	1688	1969	1920	1819	2011	1931	1710	1027	1683	1299	1274	1988	1634	1688	1750	1757	1738	1428	1070	1149	1195
b0124	b0124_gcd_141225_-1	37	80	-	44	1091	1850	1040	1732	1263	1645	1550	739	1507	926	902	1204	939	1165	1626	1092	1462	1023	4078	1037	957
b0125	b0125_hpt_141431_1	37	80	+	44	125	287	151	272	155	215	270	88	181	97	130	152	116	199	281	128	284	138	2386	183	192
b0126	b0126_can_142670_-1	37	80	-	44	48	63	54	73	71	67	80	32	81	62	41	62	56	72	58	63	62	47	1336	34	39
b0127	b0127_yadG_142779_1	37	80	+	44	2216	1955	1933	1558	1948	1409	1882	1366	1925	1356	1403	1599	1539	1664	1912	2034	1683	1673	6086	1068	728
b0128	b0128_yadH_143702_1	37	80	+	44	4816	5243	5617	3761	4820	4059	4048	3297	3747	2485	3052	3687	4950	4649	4425	4871	4506	4744	1531	2531	2447
b0129	b0129_yadI_144577_1	37	80	+	44	7581	7503	9504	6958	8050	7040	6999	5977	8636	6776	5477	8240	9530	8218	8786	9610	7861	9367	1661	6259	5248
b0130	b0130_yadE_145081_1	37	80	+	44	75	94	101	88	82	67	81	52	98	75	41	63	71	71	82	90	82	53	3489	53	41
b0131	b0131_panD_146694_-1	37	80	-	44	1188	1832	1383	1549	1420	1485	1798	915	1628	972	998	1176	1180	1170	1473	1228	1418	1139	908	1310	1144
b0132	b0132_yadD_146968_1	37	80	+	44	644	941	821	792	797	869	896	575	831	599	487	852	845	928	902	854	815	864	1683	795	768
b0133	b0133_panC_148795_-1	37	80	-	44	8005	9692	11119	9396	10965	10800	8720	8104	11110	10521	7345	10915	11024	10416	10233	11446	9351	11273	12411	6829	5501
b0134	b0134_panB_149601_-1	37	80	-	44	632	1086	631	1100	848	858	996	378	827	493	596	775	557	794	958	694	992	611	1384	711	687
b0135	b0135_yadC_150953_-1	37	80	-	44	13487	13981	13928	11827	14801	12616	10311	7031	10829	8934	8214	12484	10973	11604	11936	12865	11400	11873	2174	6311	6262
b0136	b0136_yadK_151599_-1	37	80	-	44	127	226	150	190	172	155	175	95	153	70	102	181	154	181	184	168	154	129	3025	142	124
b0137	b0137_yadL_152231_-1	37	80	-	44	873	2045	959	1874	1341	1704	1866	660	1601	814	995	1587	1288	2186	2409	1361	2230	1500	5905	1562	1287
b0138	b0138_yadM_152812_-1	37	80	-	44	4031	6914	4877	6493	5314	6128	5490	2805	5753	3250	3541	4864	4166	4368	6044	4650	5377	4605	2242	3561	3304
b0139	b0139_htrE_155426_-1	37	80	-	44	189	424	235	385	297	327	343	119	328	122	198	284	222	285	314	209	328	226	1247	335	307
b0140	b0140_yadV_156201_-1	37	80	-	44	292	532	383	529	452	502	449	282	425	292	299	462	378	544	521	391	508	379	2198	333	329
b0141	b0141_yadN_156883_-1	37	80	-	44	5421	7858	6170	6179	6466	5811	5114	3159	5592	4151	4146	5179	4117	3716	5025	4953	4615	4783	2054	2467	3043
b0142	b0142_folK_157732_-1	37	80	-	44	35	27	59	27	36	19	27	23	19	23	28	27	26	39	33	27	29	36	1820	16	20
b0143	b0143_pcnB_159126_-1	37	80	-	44	40	52	40	45	46	45	70	26	47	25	34	39	32	41	43	42	42	23	3413	36	22
b0144	b0144_gluQ_160112_-1	37	80	-	44	386	602	419	481	477	426	451	272	465	368	348	464	402	445	449	436	510	382	784	323	343
b0145	b0145_dksA_160604_-1	37	80	-	44	1586	2178	2054	2085	2191	1885	2160	1410	2009	1606	1525	2184	1584	1804	1918	1983	1909	1673	1921	1928	1764
b0146	b0146_sfsA_161486_-1	37	80	-	44	959	991	1086	865	1036	1068	995	601	831	529	620	835	862	924	983	1046	997	911	119	630	676
b0147	b0147_ligT_162031_-1	37	80	-	44	13	22	13	15	12	10	20	8	5	9	13	6	9	21	22	14	12	11	710	12	3
b0148	b0148_hrpB_162105_1	37	80	+	44	127	151	123	128	133	107	135	75	106	92	83	138	112	112	134	126	154	116	3151	84	93
b0149	b0149_mrcB_164730_1	37	80	+	44	355	550	465	532	424	515	475	283	437	352	330	464	388	446	489	393	442	366	661	453	420
b0150	b0150_fhuA_167484_1	37	80	+	44	214	359	235	371	283	353	394	160	341	180	245	299	255	309	436	263	406	259	1685	308	318
b0151	b0151_fhuC_169778_1	37	80	+	44	8	27	16	20	12	20	17	8	12	8	12	20	18	20	23	13	25	15	840	24	19
b0152	b0152_fhuD_170575_1	37	80	+	44	19	24	27	28	42	28	30	10	32	16	19	34	25	26	39	25	33	23	260	16	17
b0153	b0153_fhuB_171462_1	37	80	+	44	159	139	81	85	76	55	109	71	70	57	84	88	84	145	152	131	121	115	3054	64	57
b0154	b0154_hemL_174882_-1	37	80	-	44	58	103	86	136	111	114	170	56	111	72	66	138	79	117	130	105	134	106	141	172	115
b0155	b0155_clcA_175107_1	37	80	+	44	349	542	321	479	354	434	607	221	442	227	245	383	330	424	525	335	539	317	1437	396	300
b0156	b0156_erpA_176610_1	37	80	+	44	2544	2848	3792	2552	3584	2630	2703	2433	2865	2948	2235	3405	2822	2476	2187	2997	2195	2675	655	1929	1734
b0157	b0157_yadS_177624_-1	37	80	-	44	143	179	196	141	146	160	170	94	126	64	115	130	190	198	192	168	184	171	372	138	118
b0158	b0158_btuF_178462_-1	37	80	-	44	9	10	2	8	2	4	8	1	1	3	3	5	4	7	3	11	11	9	2042	2	3
b0159	b0159_mtn_179153_-1	37	80	-	44	166	254	178	230	239	238	225	124	206	146	148	203	145	166	206	139	199	151	692	168	138
b0160	b0160_dgt_179237_1	37	80	+	44	171	172	181	144	164	134	164	124	137	76	109	170	174	208	181	205	212	182	82	149	119
b0161	b0161_degP_180884_1	37	80	+	44	169	211	150	193	207	196	196	118	223	158	156	187	134	175	173	165	174	137	628	145	95
b0162	b0162_cdaR_182463_1	37	80	+	44	182	194	248	181	200	162	213	119	183	122	149	223	194	248	206	236	174	239	988	138	128
b0163	b0163_yaeH_184095_-1	37	80	-	44	551	1317	709	1300	815	1159	1229	459	929	502	636	776	661	992	1120	776	1062	706	1011	950	833
b0164	b0164_yaeI_185069_-1	37	80	-	44	128	136	118	120	121	101	131	48	108	69	79	104	101	98	144	105	128	103	108	76	88
b0166	b0166_dapD_185947_-1	37	80	-	44	3641	6540	3287	5632	4391	5429	5346	1855	4824	2727	3069	3557	2911	3919	4919	3294	4914	2799	1259	3196	3022
b0167	b0167_glnD_188650_-1	37	80	-	44	125	207	168	232	164	180	267	114	198	81	109	190	190	256	315	239	240	175	447	161	131
