name,TIS_type,min_DG,gene
seq_b0062,annotated,-2.68108,seq_b0062
seq_b0063,annotated,-5.24147,seq_b0063
seq_b0064,annotated,-7.25855,seq_b0064
seq_b0065,annotated,-0.784380000000001,seq_b0065
seq_b0066,annotated,-2.833755,seq_b0066
seq_b0066_26,alternative,-2.833755,b0066
seq_b0067,annotated,-2.70311,seq_b0067
seq_b0068,annotated,-3.60793,seq_b0068
seq_b0069,annotated,-4.59019,seq_b0069
seq_b0070,annotated,-3.656465,seq_b0070
seq_b0071,annotated,-3.60793,seq_b0071
seq_b0072,annotated,-3.724597,seq_b0072
seq_b0073,annotated,-3.60823,seq_b0073
seq_b0074,annotated,-2.68108,seq_b0074
seq_b0074_125,alternative,-1.126985,b0074
seq_b0075,annotated,-5.24147,seq_b0075
seq_b0076,annotated,-9.56698,seq_b0076
seq_b0076_3,alternative,-9.19172,b0076
seq_b0077,annotated,-3.60793,seq_b0077
seq_b0078,annotated,-3.60793,seq_b0078
seq_b0080,annotated,-2.833755,seq_b0080
seq_b0080_23,alternative,-2.833755,b0080
seq_b0081,annotated,-3.724597,seq_b0081
seq_b0082,annotated,-2.68108,seq_b0082
seq_b0083,annotated,-5.50463,seq_b0083
seq_b0084,annotated,-2.68108,seq_b0084
seq_b0085,annotated,-5.181747,seq_b0085
seq_b0086,annotated,-7.71539,seq_b0086
seq_b0087,annotated,-3.60793,seq_b0087
seq_b0088,annotated,-0.784380000000001,seq_b0088
seq_b0089,annotated,-4.59019,seq_b0089
seq_b0090,annotated,-3.60793,seq_b0090
seq_b0091,annotated,-0.806410000000001,seq_b0091
seq_b0092,annotated,-9.679875,seq_b0092
seq_b0093,annotated,-2.70311,seq_b0093
seq_b0094,annotated,-0.784380000000001,seq_b0094
seq_b0095,annotated,-3.60793,seq_b0095
seq_b0096,annotated,-0.806410000000001,seq_b0096
seq_b0097,annotated,-2.729315,seq_b0097
seq_b0098,annotated,-2.833755,seq_b0098
seq_b0099,annotated,-0.784380000000001,seq_b0099
seq_b0101,annotated,-4.59019,seq_b0101
seq_b0102,annotated,-3.60823,seq_b0102
seq_b0103,annotated,-4.75546,seq_b0103
seq_b0103_49,alternative,-3.272025,b0103
seq_b0104,annotated,-4.707225,seq_b0104
seq_b0106,annotated,-4.730455,seq_b0106
seq_b0107,annotated,-3.60793,seq_b0107
seq_b0108,annotated,-3.60793,seq_b0108
seq_b0109,annotated,-5.24147,seq_b0109
seq_b0110,annotated,-3.60793,seq_b0110
seq_b0111,annotated,-3.60793,seq_b0111
seq_b0112,annotated,-3.60793,seq_b0112
seq_b0113,annotated,-5.13192,seq_b0113
seq_b0113_52,alternative,0,b0113
seq_b0114,annotated,-4.707225,seq_b0114
seq_b0115,annotated,-3.60793,seq_b0115
seq_b0116,annotated,-3.60793,seq_b0116
seq_b0117,annotated,-0.359835,seq_b0117
seq_b0118,annotated,-6.04734,seq_b0118
seq_b0119,annotated,-6.43178,seq_b0119
seq_b0120,annotated,-3.60793,seq_b0120
seq_b0121,annotated,-6.856025,seq_b0121
seq_b0121_7,alternative,-3.22379,b0121
seq_b0122,annotated,-0.806410000000001,seq_b0122
seq_b0123,annotated,-3.60823,seq_b0123
seq_b0124,annotated,-2.936165,seq_b0124
seq_b0125,annotated,-0.806410000000001,seq_b0125
seq_b0126,annotated,-0.918485,seq_b0126
seq_b0127,annotated,-0.784380000000001,seq_b0127
seq_b0128,annotated,-3.60793,seq_b0128
seq_b0128_23,alternative,-3.60793,b0128
seq_b0129,annotated,-9.679875,seq_b0129
seq_b0130,annotated,0,seq_b0130
seq_b0131,annotated,-0.784380000000001,seq_b0131
seq_b0132,annotated,-3.656465,seq_b0132
seq_b0133,annotated,-4.59019,seq_b0133
seq_b0134,annotated,-2.68108,seq_b0134
seq_b0135,annotated,-5.24147,seq_b0135
seq_b0136,annotated,-3.60823,seq_b0136
seq_b0136_125,alternative,-1.06957,b0136
seq_b0136_39,alternative,0,b0136
seq_b0137,annotated,-2.68108,seq_b0137
seq_b0138,annotated,-3.120075,seq_b0138
seq_b0139,annotated,-3.60823,seq_b0139
seq_b0140,annotated,-4.21907,seq_b0140
seq_b0140_140,alternative,0,b0140
seq_b0140_141,alternative,0,b0140
seq_b0141,annotated,-2.68108,seq_b0141
seq_b0142,annotated,-4.68222,seq_b0142
seq_b0143,annotated,-3.60793,seq_b0143
seq_b0144,annotated,-1.508565,seq_b0144
seq_b0144_44,alternative,0,b0144
seq_b0144_45,alternative,0,b0144
seq_b0145,annotated,-3.60793,seq_b0145
seq_b0146,annotated,-2.68108,seq_b0146
seq_b0147,annotated,-0.359835,seq_b0147
seq_b0148,annotated,-5.24147,seq_b0148
seq_b0149,annotated,-3.60793,seq_b0149
seq_b0149_150,alternative,-5.50463,b0149
seq_b0150,annotated,-0.359835,seq_b0150
seq_b0151,annotated,0,seq_b0151
seq_b0152,annotated,-0.359835,seq_b0152
seq_b0152_138,alternative,0,b0152
seq_b0153,annotated,-6.856025,seq_b0153
seq_b0153_2,alternative,-2.70311,b0153
seq_b0154,annotated,-3.60823,seq_b0154
seq_b0155,annotated,-1.883825,seq_b0155
seq_b0156,annotated,-5.24147,seq_b0156
seq_b0157,annotated,-8.792805,seq_b0157
seq_b0158,annotated,-5.474525,seq_b0158
seq_b0159,annotated,-0.359835,seq_b0159
seq_b0160,annotated,-3.60793,seq_b0160
seq_b0161,annotated,-0.359835,seq_b0161
seq_b0162,annotated,-8.752725,seq_b0162
seq_b0163,annotated,-3.60793,seq_b0163
seq_b0164,annotated,-4.21907,seq_b0164
seq_b0164_2,alternative,-0.832615000000001,b0164
seq_b0166,annotated,-0.359835,seq_b0166
seq_b0167,annotated,-5.180155,seq_b0167
seq_b0168,annotated,-2.70311,seq_b0168
seq_b0168_55,alternative,0,b0168
seq_b0169,annotated,-3.60793,seq_b0169
seq_b0170,annotated,-5.50463,seq_b0170
seq_b0170_51,alternative,-0.806410000000001,b0170
seq_b0170_96,alternative,-2.70311,b0170
seq_b0171,annotated,-3.60823,seq_b0171
seq_b0172,annotated,-2.68108,seq_b0172
seq_b0172_9,alternative,-0.359835,b0172
seq_b0173,annotated,-2.70311,seq_b0173
seq_b0174,annotated,-4.75546,seq_b0174
seq_b0175,annotated,-7.71539,seq_b0175
seq_b0176,annotated,-1.99672,seq_b0176
seq_b0177,annotated,-1.06957,seq_b0177
seq_b0178,annotated,-4.59019,seq_b0178
seq_b0178_25,alternative,-3.60793,b0178
seq_b0179,annotated,-0.784380000000001,seq_b0179
seq_b0180,annotated,-3.60823,seq_b0180
seq_b0181,annotated,-6.856025,seq_b0181
seq_b0182,annotated,0,seq_b0182
seq_b0183,annotated,-5.24147,seq_b0183
seq_b0183_48,alternative,0,b0183
seq_b0184,annotated,-3.095715,seq_b0184
seq_b0185,annotated,-4.707225,seq_b0185
seq_b0185_124,alternative,-2.70311,b0185
seq_b0186,annotated,-9.679875,seq_b0186
seq_b0187,annotated,-3.60793,seq_b0187
seq_b0188,annotated,0,seq_b0188
seq_b0189,annotated,-5.474525,seq_b0189
seq_b0189_11,alternative,-5.474525,b0189
seq_b0190,annotated,-4.59019,seq_b0190
seq_b0191,annotated,-1.126985,seq_b0191
seq_b0192,annotated,-4.707225,seq_b0192
seq_b0193,annotated,-2.70311,seq_b0193
seq_b0193_3,alternative,-7.930315,b0193
seq_b0194,annotated,-2.70311,seq_b0194
seq_b0195,annotated,0,seq_b0195
seq_b0196,annotated,-6.43178,seq_b0196
seq_b0197,annotated,-4.707225,seq_b0197
seq_b0198,annotated,-3.60793,seq_b0198
seq_b0199,annotated,0,seq_b0199
seq_b0200,annotated,-3.60793,seq_b0200
seq_b0200_100,alternative,-0.359835,b0200
seq_b0207,annotated,-3.60793,seq_b0207
seq_b0208,annotated,-3.60793,seq_b0208
seq_b0209,annotated,-3.60793,seq_b0209
seq_b0210,annotated,0,seq_b0210
seq_b0211,annotated,0,seq_b0211
seq_b0212,annotated,-3.60793,seq_b0212
seq_b0213,annotated,-1.99672,seq_b0213
seq_b0214,annotated,-3.60823,seq_b0214
seq_b0215,annotated,0,seq_b0215
seq_b0217,annotated,-5.943625,seq_b0217
seq_b0218,annotated,0,seq_b0218
seq_b0218_33,alternative,0,b0218
seq_b0218_54,alternative,-0.359835,b0218
seq_b0218_66,alternative,-2.914135,b0218
seq_b0219,annotated,-4.59019,seq_b0219
seq_b0220,annotated,-6.856025,seq_b0220
seq_b0220_41,alternative,-3.272025,b0220
seq_b0220_44,alternative,-10.77887,b0220
seq_b0221,annotated,-2.833755,seq_b0221
seq_b0222,annotated,-2.68108,seq_b0222
seq_b0223,annotated,-11.203565,seq_b0223
seq_b0224,annotated,-4.707225,seq_b0224
seq_b0225,annotated,-4.707225,seq_b0225
seq_b0225_58,alternative,-2.729315,b0225
seq_b0226,annotated,-3.60793,seq_b0226
seq_b0227,annotated,0,seq_b0227
seq_b0227_59,alternative,-2.729315,b0227
seq_b0228,annotated,-4.59019,seq_b0228
seq_b0228_53,alternative,-8.9057,b0228
seq_b0229,annotated,-1.06957,seq_b0229
seq_b0230,annotated,0,seq_b0230
seq_b0231,annotated,-3.60793,seq_b0231
seq_b0232,annotated,-4.68222,seq_b0232
seq_b0232_7,alternative,-2.936165,b0232
seq_b0233,annotated,-4.707225,seq_b0233
seq_b0233_69,alternative,-6.43178,b0233
seq_b0234,annotated,0,seq_b0234
seq_b0235,annotated,-3.095715,seq_b0235
seq_b0235_7,alternative,-0.359835,b0235
seq_b0236,annotated,0,seq_b0236
seq_b0237,annotated,-3.60793,seq_b0237
seq_b0238,annotated,-2.729315,seq_b0238
seq_b0239,annotated,-8.489565,seq_b0239
seq_b0240,annotated,-0.806410000000001,seq_b0240
seq_b0241,annotated,-4.707225,seq_b0241
seq_b0242,annotated,-0.806410000000001,seq_b0242
seq_b0243,annotated,-3.60793,seq_b0243
seq_b0245,annotated,-0.359835,seq_b0245
seq_b0246,annotated,-10.898905,seq_b0246
seq_b0247,annotated,-3.60793,seq_b0247
seq_b0247_.3,alternative,-1.85867,b0247
seq_b0248,annotated,-3.60793,seq_b0248
seq_b0249,annotated,-3.60793,seq_b0249
seq_b0250,annotated,-3.60793,seq_b0250
seq_b0251,annotated,-3.60823,seq_b0251
seq_b0252,annotated,-7.41374,seq_b0252
seq_b0253,annotated,-7.41374,seq_b0253
seq_b0254,annotated,-5.75411,seq_b0254
seq_b0256,annotated,-6.856025,seq_b0256
seq_b0258,annotated,-3.60793,seq_b0258
seq_b0259,annotated,0,seq_b0259
seq_b0260,annotated,-0.784380000000001,seq_b0260
seq_b0261,annotated,-3.60793,seq_b0261
seq_b0262,annotated,-5.24147,seq_b0262
seq_b0263,annotated,-5.24147,seq_b0263
seq_b0264,annotated,-0.806410000000001,seq_b0264
seq_b0265,annotated,-3.60793,seq_b0265
seq_b0266,annotated,-4.707225,seq_b0266
seq_b0266_85,alternative,-3.60793,b0266
seq_b0267,annotated,-0.784380000000001,seq_b0267
seq_b0267_51,alternative,-2.729315,b0267
seq_b0268,annotated,-3.60793,seq_b0268
seq_b0269,annotated,-1.06957,seq_b0269
seq_b0270,annotated,-1.9320600000000001,seq_b0270
seq_b0271,annotated,-6.856025,seq_b0271
seq_b0272,annotated,-5.41711,seq_b0272
seq_b0273,annotated,-5.50463,seq_b0273
seq_b0274,annotated,-0.806410000000001,seq_b0274
seq_b0275,annotated,-3.60793,seq_b0275
seq_b0276,annotated,-0.806410000000001,seq_b0276
seq_b0276_137,alternative,-0.272315000000003,b0276
seq_b0276_147,alternative,-0.806410000000001,b0276
seq_b0277,annotated,-0.784380000000001,seq_b0277
seq_b0278,annotated,-2.68108,seq_b0278
seq_b0278_136,alternative,0,b0278
seq_b0279,annotated,-3.60793,seq_b0279
seq_b0280,annotated,-3.60793,seq_b0280
seq_b0281,annotated,0,seq_b0281
seq_b0281_90,alternative,-5.24147,b0281
seq_b0283,annotated,-9.679875,seq_b0283
seq_b0284,annotated,-4.68222,seq_b0284
seq_b0284_24,alternative,-4.68222,b0284
seq_b0285,annotated,-8.52126,seq_b0285
seq_b0286,annotated,-6.856025,seq_b0286
seq_b0287,annotated,-1.85867,seq_b0287
seq_b0288,annotated,-0.806410000000001,seq_b0288
seq_b0289,annotated,-3.60793,seq_b0289
seq_b0290,annotated,-3.60793,seq_b0290
seq_b0291,annotated,-2.70311,seq_b0291
seq_b0292,annotated,-3.095715,seq_b0292
seq_b0293,annotated,-3.656465,seq_b0293
seq_b0294,annotated,-2.70311,seq_b0294
seq_b0295,annotated,-0.359835,seq_b0295
seq_b0295_124,alternative,0,b0295
seq_b0296,annotated,-0.784380000000001,seq_b0296
seq_b0296_114,alternative,0,b0296
seq_b0296_127,alternative,-0.359835,b0296
seq_b0297,annotated,-3.60823,seq_b0297
seq_b0297_7,alternative,0,b0297
seq_b0298,annotated,-3.60793,seq_b0298
seq_b0299,annotated,0,seq_b0299
seq_b0300,annotated,-1.85867,seq_b0300
seq_b0300_47,alternative,-3.60793,b0300
seq_b0301,annotated,-2.68108,seq_b0301
seq_b0303,annotated,-0.806410000000001,seq_b0303
seq_b0304,annotated,-3.60823,seq_b0304
seq_b0305,annotated,-4.59019,seq_b0305
seq_b0305_9,alternative,-4.59019,b0305
seq_b0306,annotated,-5.24147,seq_b0306
seq_b0307,annotated,-5.50463,seq_b0307
seq_b0308,annotated,-3.60793,seq_b0308
seq_b0310,annotated,-2.70311,seq_b0310
seq_b0310_21,alternative,-2.70311,b0310
seq_b0310_41,alternative,-0.272315000000003,b0310
seq_b0310_46,alternative,-2.68108,b0310
seq_b0311,annotated,-6.856025,seq_b0311
seq_b0312,annotated,-6.04734,seq_b0312
seq_b0312_24,alternative,-3.60793,b0312
seq_b0313,annotated,-5.24147,seq_b0313
seq_b0314,annotated,-8.792805,seq_b0314
seq_b0315,annotated,-0.784380000000001,seq_b0315
seq_b0315_10,alternative,0,b0315
seq_b0316,annotated,-0.806410000000001,seq_b0316
seq_b0316_144,alternative,0,b0316
seq_b0317,annotated,-5.657605,seq_b0317
seq_b0318,annotated,-6.7566,seq_b0318
seq_b0318_8,alternative,-2.358197,b0318
seq_b0319,annotated,0,seq_b0319
seq_b0320,annotated,-9.19172,seq_b0320
seq_b0321,annotated,-9.679875,seq_b0321
seq_b0321_96,alternative,0,b0321
seq_b0323,annotated,-1.06957,seq_b0323
seq_b0324,annotated,-2.68108,seq_b0324
seq_b0325,annotated,-4.59019,seq_b0325
seq_b0326,annotated,-0.359835,seq_b0326
seq_b0327,annotated,-3.60793,seq_b0327
seq_b0327_107,alternative,-0.806410000000001,b0327
seq_b0328,annotated,-0.806410000000001,seq_b0328
seq_b0328_54,alternative,-2.70311,b0328
seq_b0328_56,alternative,-2.70311,b0328
seq_b0328_57,alternative,-2.70311,b0328
seq_b0329,annotated,-5.24147,seq_b0329
seq_b0330,annotated,0,seq_b0330
seq_b0331,annotated,-2.68108,seq_b0331
seq_b0333,annotated,-5.50463,seq_b0333
seq_b0334,annotated,-3.60823,seq_b0334
seq_b0335,annotated,-3.60793,seq_b0335
seq_b0336,annotated,-10.004695,seq_b0336
seq_b0337,annotated,-11.203565,seq_b0337
seq_b0338,annotated,-0.784380000000001,seq_b0338
seq_b0338_148,alternative,-6.04734,b0338
seq_b0339,annotated,-3.60793,seq_b0339
seq_b0339_23,alternative,-3.60793,b0339
seq_b0340,annotated,-4.59019,seq_b0340
seq_b0341,annotated,0,seq_b0341
seq_b0342,annotated,-3.60793,seq_b0342
seq_b0342_9,alternative,0,b0342
seq_b0343,annotated,-3.60823,seq_b0343
seq_b0344,annotated,-3.60823,seq_b0344
seq_b0345,annotated,-1.85867,seq_b0345
seq_b0346,annotated,0,seq_b0346
seq_b0346_25,alternative,0,b0346
seq_b0347,annotated,-3.60793,seq_b0347
seq_b0348,annotated,-0.784380000000001,seq_b0348
seq_b0349,annotated,-3.60793,seq_b0349
seq_b0350,annotated,-4.707225,seq_b0350
seq_b0351,annotated,-3.60823,seq_b0351
seq_b0351_10,alternative,-3.60823,b0351
seq_b0352,annotated,-3.60793,seq_b0352
seq_b0353,annotated,-3.60793,seq_b0353
seq_b0354,annotated,-2.70311,seq_b0354
seq_b0355,annotated,-0.359835,seq_b0355
seq_b0355_91,alternative,0,b0355
seq_b0355_93,alternative,0,b0355
seq_b0356,annotated,-6.43178,seq_b0356
seq_b0357,annotated,-3.60793,seq_b0357
seq_b0357_99,alternative,-2.70311,b0357
seq_b0358,annotated,-3.60793,seq_b0358
seq_b0360,annotated,-5.24147,seq_b0360
seq_b0361,annotated,-2.70311,seq_b0361
seq_b0363,annotated,-0.359835,seq_b0363
seq_b0364,annotated,-5.24147,seq_b0364
seq_b0365,annotated,-5.273165,seq_b0365
seq_b0366,annotated,-6.856025,seq_b0366
seq_b0367,annotated,-6.856025,seq_b0367
seq_b0367_.6,alternative,-1.85867,b0367
seq_b0368,annotated,-5.24147,seq_b0368
seq_b0369,annotated,-0.784380000000001,seq_b0369
seq_b0372,annotated,0,seq_b0372
seq_b0373,annotated,-3.60793,seq_b0373
seq_b0375,annotated,-2.68108,seq_b0375
seq_b0376,annotated,-2.70311,seq_b0376
seq_b0377,annotated,-4.59019,seq_b0377
seq_b0378,annotated,-3.60793,seq_b0378
seq_b0378_137,alternative,-0.359835,b0378
seq_b0379,annotated,-6.856025,seq_b0379
seq_b0380,annotated,-3.60793,seq_b0380
seq_b0381,annotated,-2.729315,seq_b0381
seq_b0382,annotated,-3.60823,seq_b0382
seq_b0383,annotated,-5.24147,seq_b0383
seq_b0384,annotated,-7.04262,seq_b0384
seq_b0385,annotated,-3.656465,seq_b0385
seq_b0386,annotated,-4.59019,seq_b0386
seq_b0387,annotated,-2.68108,seq_b0387
seq_b0387_48,alternative,-7.076855,b0387
seq_b0388,annotated,-5.657605,seq_b0388
seq_b0389,annotated,-3.60823,seq_b0389
seq_b0389_55,alternative,-0.272315000000003,b0389
seq_b0390,annotated,-7.076855,seq_b0390
seq_b0391,annotated,-1.85867,seq_b0391
seq_b0392,annotated,-1.883825,seq_b0392
seq_b0392_55,alternative,-1.126985,b0392
seq_b0392_63,alternative,0,b0392
seq_b0393,annotated,-5.41711,seq_b0393
seq_b0393_11,alternative,-0.784380000000001,b0393
seq_b0393_23,alternative,-5.41711,b0393
seq_b0394,annotated,-3.60793,seq_b0394
seq_b0396,annotated,-8.72262,seq_b0396
seq_b0397,annotated,-3.60793,seq_b0397
seq_b0397_23,alternative,-3.60793,b0397
seq_b0398,annotated,-3.656465,seq_b0398
seq_b0399,annotated,-1.85867,seq_b0399
seq_b0400,annotated,-5.24147,seq_b0400
seq_b0401,annotated,-0.784380000000001,seq_b0401
seq_b0402,annotated,-4.707225,seq_b0402
seq_b0403,annotated,-6.7566,seq_b0403
seq_b0403_24,alternative,-6.7566,b0403
seq_b0404,annotated,-2.70311,seq_b0404
seq_b0404_10,alternative,-2.70311,b0404
seq_b0405,annotated,-1.19807,seq_b0405
seq_b0406,annotated,-10.898905,seq_b0406
seq_b0407,annotated,-5.943625,seq_b0407
seq_b0407_37,alternative,-0.359835,b0407
seq_b0408,annotated,-4.75546,seq_b0408
seq_b0409,annotated,-7.41374,seq_b0409
seq_b0409_9,alternative,0,b0409
seq_b0410,annotated,-0.784380000000001,seq_b0410
seq_b0411,annotated,-5.13192,seq_b0411
seq_b0412,annotated,-3.120075,seq_b0412
seq_b0413,annotated,-2.914135,seq_b0413
seq_b0413_143,alternative,0,b0413
seq_b0414,annotated,-10.386265,seq_b0414
seq_b0414_150,alternative,-1.9320600000000001,b0414
seq_b0415,annotated,-3.60823,seq_b0415
seq_b0416,annotated,-5.657605,seq_b0416
seq_b0417,annotated,-3.60793,seq_b0417
seq_b0418,annotated,-2.70311,seq_b0418
seq_b0419,annotated,-4.59019,seq_b0419
seq_b0420,annotated,-0.784380000000001,seq_b0420
seq_b0421,annotated,-1.06957,seq_b0421
seq_b0422,annotated,-0.359835,seq_b0422
seq_b0423,annotated,0,seq_b0423
seq_b0424,annotated,-3.60793,seq_b0424
seq_b0425,annotated,-9.679875,seq_b0425
seq_b0426,annotated,-6.43178,seq_b0426
seq_b0427,annotated,-3.60793,seq_b0427
seq_b0428,annotated,-0.359835,seq_b0428
seq_b0429,annotated,-7.71539,seq_b0429
seq_b0429_2,alternative,-0.247160000000001,b0429
seq_b0429_3,alternative,-0.247160000000001,b0429
seq_b0430,annotated,-1.85867,seq_b0430
seq_b0431,annotated,-6.43178,seq_b0431
seq_b0432,annotated,-5.41711,seq_b0432
seq_b0433,annotated,-0.832615000000001,seq_b0433
seq_b0434,annotated,-0.359835,seq_b0434
seq_b0435,annotated,-9.295435,seq_b0435
seq_b0436,annotated,-3.60793,seq_b0436
seq_b0437,annotated,-3.60793,seq_b0437
seq_b0438,annotated,-3.60793,seq_b0438
seq_b0438_9,alternative,0,b0438
seq_b0439,annotated,-0.359835,seq_b0439
seq_b0440,annotated,-6.43178,seq_b0440
seq_b0440_136,alternative,0,b0440
seq_b0441,annotated,-3.60793,seq_b0441
seq_b0442,annotated,-3.60793,seq_b0442
seq_b0443,annotated,-0.784380000000001,seq_b0443
seq_b0444,annotated,-2.68108,seq_b0444
seq_b0444_40,alternative,-0.272315000000003,b0444
seq_b0445,annotated,-0.832615000000001,seq_b0445
seq_b0446,annotated,-9.56698,seq_b0446
seq_b0447,annotated,-5.41711,seq_b0447
seq_b0447_132,alternative,-2.70311,b0447
seq_b0447_140,alternative,-2.70311,b0447
seq_b0448,annotated,-2.68108,seq_b0448
seq_b0449,annotated,-6.856025,seq_b0449
seq_b0450,annotated,-8.429842,seq_b0450
seq_b0451,annotated,-3.60823,seq_b0451
seq_b0452,annotated,-5.24147,seq_b0452
seq_b0453,annotated,-3.60793,seq_b0453
seq_b0454,annotated,0,seq_b0454
seq_b0454_93,alternative,-3.60823,b0454
seq_b0456,annotated,-6.856025,seq_b0456
seq_b0457,annotated,-2.68108,seq_b0457
seq_b0457_10,alternative,-0.272315000000003,b0457
seq_b0458,annotated,-0.784380000000001,seq_b0458
seq_b0459,annotated,-6.856025,seq_b0459
seq_b0460,annotated,-0.784380000000001,seq_b0460
seq_b0461,annotated,-4.730455,seq_b0461
seq_b0462,annotated,-3.60793,seq_b0462
seq_b0463,annotated,-3.60793,seq_b0463
seq_b0464,annotated,0,seq_b0464
seq_b0465,annotated,0,seq_b0465
seq_b0466,annotated,-5.24147,seq_b0466
seq_b0467,annotated,-3.60793,seq_b0467
seq_b0468,annotated,0,seq_b0468
seq_b0468_49,alternative,0,b0468
seq_b0469,annotated,-0.784380000000001,seq_b0469
seq_b0470,annotated,-0.359835,seq_b0470
seq_b0470_9,alternative,0,b0470
seq_b0471,annotated,-0.359835,seq_b0471
seq_b0471_32,alternative,-0.918485,b0471
seq_b0471_75,alternative,0,b0471
seq_b0472,annotated,-1.126985,seq_b0472
seq_b0473,annotated,-3.60793,seq_b0473
seq_b0474,annotated,-4.730455,seq_b0474
seq_b0474_8,alternative,0,b0474
seq_b0475,annotated,-3.60793,seq_b0475
seq_b0476,annotated,-4.59019,seq_b0476
seq_b0477,annotated,0,seq_b0477
seq_b0478,annotated,-3.60823,seq_b0478
seq_b0479,annotated,-1.883825,seq_b0479
seq_b0479_21,alternative,-1.883825,b0479
seq_b0480,annotated,-3.60793,seq_b0480
seq_b0480_21,alternative,-3.60793,b0480
seq_b0481,annotated,-3.60823,seq_b0481
seq_b0482,annotated,-6.856025,seq_b0482
seq_b0483,annotated,-1.06957,seq_b0483
seq_b0484,annotated,-4.59019,seq_b0484
seq_b0484_7,alternative,0,b0484
seq_b0485,annotated,-4.59019,seq_b0485
seq_b0486,annotated,-1.85867,seq_b0486
seq_b0487,annotated,-6.856025,seq_b0487
seq_b0488,annotated,-1.06957,seq_b0488
seq_b0489,annotated,-6.856025,seq_b0489
seq_b0490,annotated,-3.656465,seq_b0490
seq_b0491,annotated,-3.60823,seq_b0491
seq_b0492,annotated,-0.359835,seq_b0492
seq_b0493,annotated,0,seq_b0493
seq_b0493_53,alternative,-0.784380000000001,b0493
seq_b0493_54,alternative,-0.784380000000001,b0493
seq_b0494,annotated,-1.06957,seq_b0494
seq_b0495,annotated,-3.60823,seq_b0495
seq_b0496,annotated,-9.679875,seq_b0496
seq_b0496_2,alternative,-5.474525,b0496
seq_b0497,annotated,-1.85867,seq_b0497
seq_b0498,annotated,-10.66744,seq_b0498
