name,TIS_type,min_DG,locus_tag,new_TIS_type
seq_b0013_1,shuffled annotated,-1.40657,b0013,annotated but not recovered in data
seq_b0013_2,shuffled annotated,0,b0013,annotated but not recovered in data
seq_b0013_3,shuffled annotated,0,b0013,annotated but not recovered in data
seq_b0013_4,shuffled annotated,0,b0013,annotated but not recovered in data
seq_b0013_5,shuffled annotated,-1.40657,b0013,annotated but not recovered in data
seq_b0013_6,shuffled annotated,-1.40657,b0013,annotated but not recovered in data
seq_b0013_7,shuffled annotated,0,b0013,annotated but not recovered in data
seq_b0013_8,shuffled annotated,0,b0013,annotated but not recovered in data
seq_b0013_9,shuffled annotated,0,b0013,annotated but not recovered in data
seq_b0014,annotated,-10.898905,b0014,annotated + recovered in data
seq_b0014_0,shuffled annotated,0,b0014,annotated + recovered in data
seq_b0014_1,shuffled annotated,-0.359835,b0014,annotated + recovered in data
seq_b0014_2,shuffled annotated,-0.272315000000003,b0014,annotated + recovered in data
seq_b0014_3,shuffled annotated,-2.70311,b0014,annotated + recovered in data
seq_b0014_4,shuffled annotated,-0.655360000000002,b0014,annotated + recovered in data
seq_b0014_5,shuffled annotated,-0.784380000000001,b0014,annotated + recovered in data
seq_b0014_6,shuffled annotated,-1.06957,b0014,annotated + recovered in data
seq_b0014_7,shuffled annotated,-5.50463,b0014,annotated + recovered in data
seq_b0014_8,shuffled annotated,-3.60823,b0014,annotated + recovered in data
seq_b0014_9,shuffled annotated,-0.784380000000001,b0014,annotated + recovered in data
seq_b0015,annotated,-2.833755,b0015,annotated + recovered in data
seq_b0015_0,shuffled annotated,-2.833755,b0015,annotated + recovered in data
seq_b0015_1,shuffled annotated,0,b0015,annotated + recovered in data
seq_b0015_2,shuffled annotated,0,b0015,annotated + recovered in data
seq_b0015_3,shuffled annotated,0,b0015,annotated + recovered in data
seq_b0015_4,shuffled annotated,0,b0015,annotated + recovered in data
seq_b0015_5,shuffled annotated,-0.784380000000001,b0015,annotated + recovered in data
seq_b0015_6,shuffled annotated,0,b0015,annotated + recovered in data
seq_b0015_7,shuffled annotated,0,b0015,annotated + recovered in data
seq_b0015_8,shuffled annotated,-2.833755,b0015,annotated + recovered in data
seq_b0015_9,shuffled annotated,0,b0015,annotated + recovered in data
seq_b0016,annotated,0,b0016,annotated but not recovered in data
seq_b0016_0,shuffled annotated,0,b0016,annotated but not recovered in data
seq_b0016_1,shuffled annotated,0,b0016,annotated but not recovered in data
seq_b0016_2,shuffled annotated,-0.272315000000003,b0016,annotated but not recovered in data
seq_b0016_3,shuffled annotated,0,b0016,annotated but not recovered in data
seq_b0016_4,shuffled annotated,0,b0016,annotated but not recovered in data
seq_b0016_5,shuffled annotated,-0.272315000000003,b0016,annotated but not recovered in data
seq_b0016_6,shuffled annotated,0,b0016,annotated but not recovered in data
seq_b0016_7,shuffled annotated,0,b0016,annotated but not recovered in data
seq_b0016_8,shuffled annotated,0,b0016,annotated but not recovered in data
seq_b0016_9,shuffled annotated,0,b0016,annotated but not recovered in data
seq_b0018,annotated,-3.60793,b0018,annotated but not recovered in data
seq_b0018_0,shuffled annotated,-2.68108,b0018,annotated but not recovered in data
seq_b0018_1,shuffled annotated,-2.68108,b0018,annotated but not recovered in data
seq_b0018_2,shuffled annotated,0,b0018,annotated but not recovered in data
seq_b0018_3,shuffled annotated,0,b0018,annotated but not recovered in data
seq_b0018_4,shuffled annotated,-2.68108,b0018,annotated but not recovered in data
seq_b0018_5,shuffled annotated,-3.60793,b0018,annotated but not recovered in data
seq_b0018_6,shuffled annotated,-2.68108,b0018,annotated but not recovered in data
seq_b0018_7,shuffled annotated,0,b0018,annotated but not recovered in data
seq_b0018_8,shuffled annotated,-3.60793,b0018,annotated but not recovered in data
seq_b0018_9,shuffled annotated,-0.784380000000001,b0018,annotated but not recovered in data
seq_b0019,annotated,-0.359835,b0019,annotated + recovered in data
seq_b0019_0,shuffled annotated,0,b0019,annotated + recovered in data
seq_b0019_1,shuffled annotated,0,b0019,annotated + recovered in data
seq_b0019_2,shuffled annotated,-0.359835,b0019,annotated + recovered in data
seq_b0019_3,shuffled annotated,0,b0019,annotated + recovered in data
seq_b0019_4,shuffled annotated,0,b0019,annotated + recovered in data
seq_b0019_5,shuffled annotated,-0.359835,b0019,annotated + recovered in data
seq_b0019_6,shuffled annotated,0,b0019,annotated + recovered in data
seq_b0019_7,shuffled annotated,0,b0019,annotated + recovered in data
seq_b0019_8,shuffled annotated,0,b0019,annotated + recovered in data
seq_b0019_9,shuffled annotated,-0.359835,b0019,annotated + recovered in data
seq_b0020,annotated,-3.60793,b0020,annotated but not recovered in data
seq_b0020_0,shuffled alternative,-2.358197,b0020,alternative but no annotated found
seq_b0020_0,shuffled annotated,-3.60793,b0020,annotated but not recovered in data
seq_b0020_1,shuffled alternative,-1.85867,b0020,alternative but no annotated found
seq_b0020_1,shuffled annotated,-1.06957,b0020,annotated but not recovered in data
seq_b0020_2,alternative,-2.833755,b0020,alternative but no annotated found
seq_b0020_2,shuffled alternative,-1.85867,b0020,alternative but no annotated found
seq_b0020_2,shuffled annotated,-7.41374,b0020,annotated but not recovered in data
seq_b0020_3,shuffled alternative,-4.467295,b0020,alternative but no annotated found
seq_b0020_3,shuffled annotated,-4.68222,b0020,annotated but not recovered in data
seq_b0020_4,shuffled alternative,-1.8807,b0020,alternative but no annotated found
seq_b0020_4,shuffled annotated,-0.784380000000001,b0020,annotated but not recovered in data
seq_b0020_5,shuffled alternative,-2.833755,b0020,alternative but no annotated found
seq_b0020_5,shuffled annotated,-3.656465,b0020,annotated but not recovered in data
seq_b0020_6,shuffled alternative,-3.724597,b0020,alternative but no annotated found
seq_b0020_6,shuffled annotated,-1.9320600000000001,b0020,annotated but not recovered in data
seq_b0020_7,shuffled alternative,0,b0020,alternative but no annotated found
seq_b0020_7,shuffled annotated,-6.04734,b0020,annotated but not recovered in data
seq_b0020_8,shuffled alternative,-2.914135,b0020,alternative but no annotated found
seq_b0020_8,shuffled annotated,-5.24147,b0020,annotated but not recovered in data
seq_b0020_9,shuffled alternative,-4.467295,b0020,alternative but no annotated found
seq_b0020_9,shuffled annotated,-1.06957,b0020,annotated but not recovered in data
seq_b0021,annotated,-0.806410000000001,b0021,annotated but not recovered in data
seq_b0021_0,shuffled annotated,-1.9320600000000001,b0021,annotated but not recovered in data
seq_b0021_1,shuffled annotated,-1.06957,b0021,annotated but not recovered in data
seq_b0021_2,shuffled annotated,0,b0021,annotated but not recovered in data
seq_b0021_3,shuffled annotated,-2.70311,b0021,annotated but not recovered in data
seq_b0021_4,shuffled annotated,-0.832615000000001,b0021,annotated but not recovered in data
seq_b0021_5,shuffled annotated,-2.70311,b0021,annotated but not recovered in data
seq_b0021_6,shuffled annotated,-1.9320600000000001,b0021,annotated but not recovered in data
seq_b0021_7,shuffled annotated,-0.272315000000003,b0021,annotated but not recovered in data
seq_b0021_8,shuffled annotated,-3.095715,b0021,annotated but not recovered in data
seq_b0021_9,shuffled annotated,-0.806410000000001,b0021,annotated but not recovered in data
seq_b0022,annotated,-3.60793,b0022,annotated but not recovered in data
seq_b0022_0,shuffled annotated,-4.68222,b0022,annotated but not recovered in data
seq_b0022_1,shuffled annotated,-1.883825,b0022,annotated but not recovered in data
seq_b0022_2,shuffled annotated,-3.52041,b0022,annotated but not recovered in data
seq_b0022_3,shuffled annotated,-1.883825,b0022,annotated but not recovered in data
seq_b0022_4,shuffled annotated,-1.9320600000000001,b0022,annotated but not recovered in data
seq_b0022_5,shuffled annotated,-3.60793,b0022,annotated but not recovered in data
seq_b0022_6,shuffled annotated,-1.9320600000000001,b0022,annotated but not recovered in data
seq_b0022_7,shuffled annotated,-1.8807,b0022,annotated but not recovered in data
seq_b0022_8,shuffled annotated,-2.936165,b0022,annotated but not recovered in data
seq_b0022_9,shuffled annotated,-1.9320600000000001,b0022,annotated but not recovered in data
seq_b0023,annotated,-4.638425,b0023,annotated + recovered in data
seq_b0023_0,shuffled alternative,-3.120075,b0023,alternative + annotated found
seq_b0023_0,shuffled annotated,-0.784380000000001,b0023,annotated + recovered in data
seq_b0023_1,shuffled alternative,-4.638425,b0023,alternative + annotated found
seq_b0023_1,shuffled annotated,-14.638255,b0023,annotated + recovered in data
seq_b0023_2,shuffled alternative,-1.06957,b0023,alternative + annotated found
seq_b0023_2,shuffled annotated,-5.943625,b0023,annotated + recovered in data
seq_b0023_3,alternative,-0.247160000000001,b0023,alternative + annotated found
seq_b0023_3,shuffled alternative,-4.21907,b0023,alternative + annotated found
seq_b0023_3,shuffled annotated,-18.1244,b0023,annotated + recovered in data
seq_b0023_4,shuffled alternative,0,b0023,alternative + annotated found
seq_b0023_4,shuffled annotated,-11.313415000000001,b0023,annotated + recovered in data
seq_b0023_5,shuffled alternative,-1.85867,b0023,alternative + annotated found
seq_b0023_5,shuffled annotated,-3.656465,b0023,annotated + recovered in data
seq_b0023_6,shuffled alternative,-3.120075,b0023,alternative + annotated found
seq_b0023_6,shuffled annotated,-8.903255,b0023,annotated + recovered in data
seq_b0023_7,shuffled alternative,0,b0023,alternative + annotated found
seq_b0023_7,shuffled annotated,-3.095715,b0023,annotated + recovered in data
seq_b0023_8,shuffled alternative,-6.856025,b0023,alternative + annotated found
seq_b0023_8,shuffled annotated,-2.729315,b0023,annotated + recovered in data
seq_b0023_9,shuffled alternative,0,b0023,alternative + annotated found
seq_b0023_9,shuffled annotated,-3.120075,b0023,annotated + recovered in data
seq_b0024,annotated,-0.272315000000003,b0024,annotated but not recovered in data
seq_b0024_0,shuffled annotated,-0.784380000000001,b0024,annotated but not recovered in data
seq_b0024_1,shuffled annotated,-0.918485,b0024,annotated but not recovered in data
seq_b0024_2,shuffled annotated,-0.359835,b0024,annotated but not recovered in data
seq_b0024_3,shuffled annotated,-3.52041,b0024,annotated but not recovered in data
seq_b0024_4,shuffled annotated,0,b0024,annotated but not recovered in data
seq_b0024_5,shuffled annotated,0,b0024,annotated but not recovered in data
seq_b0024_6,shuffled annotated,-3.52041,b0024,annotated but not recovered in data
seq_b0024_7,shuffled annotated,0,b0024,annotated but not recovered in data
seq_b0024_8,shuffled annotated,0,b0024,annotated but not recovered in data
seq_b0024_9,shuffled annotated,-1.883825,b0024,annotated but not recovered in data
seq_b0025,annotated,-0.359835,b0025,annotated + recovered in data
seq_b0025_0,shuffled annotated,-0.359835,b0025,annotated + recovered in data
seq_b0025_1,shuffled annotated,-0.359835,b0025,annotated + recovered in data
seq_b0025_2,shuffled annotated,0,b0025,annotated + recovered in data
seq_b0025_3,shuffled annotated,0,b0025,annotated + recovered in data
seq_b0025_4,shuffled annotated,-0.359835,b0025,annotated + recovered in data
seq_b0025_5,shuffled annotated,-0.359835,b0025,annotated + recovered in data
seq_b0025_6,shuffled annotated,-0.359835,b0025,annotated + recovered in data
seq_b0025_7,shuffled annotated,-1.883825,b0025,annotated + recovered in data
seq_b0025_8,shuffled annotated,-0.359835,b0025,annotated + recovered in data
seq_b0025_9,shuffled annotated,-0.359835,b0025,annotated + recovered in data
seq_b0026,annotated,-1.99672,b0026,annotated + recovered in data
seq_b0026_0,shuffled annotated,-1.99672,b0026,annotated + recovered in data
seq_b0026_1,shuffled annotated,-1.06957,b0026,annotated + recovered in data
seq_b0026_2,shuffled annotated,-1.40657,b0026,annotated + recovered in data
seq_b0026_3,shuffled annotated,-2.70311,b0026,annotated + recovered in data
seq_b0026_4,shuffled annotated,-3.60793,b0026,annotated + recovered in data
seq_b0026_5,shuffled annotated,-2.68108,b0026,annotated + recovered in data
seq_b0026_6,shuffled annotated,-1.06957,b0026,annotated + recovered in data
seq_b0026_7,shuffled annotated,-1.06957,b0026,annotated + recovered in data
seq_b0026_8,shuffled annotated,-6.43178,b0026,annotated + recovered in data
seq_b0026_9,shuffled annotated,-3.60823,b0026,annotated + recovered in data
seq_b0027,annotated,-1.9320600000000001,b0027,annotated but not recovered in data
seq_b0027_0,shuffled annotated,0,b0027,annotated but not recovered in data
seq_b0027_1,shuffled annotated,-3.60793,b0027,annotated but not recovered in data
seq_b0027_2,shuffled annotated,-0.272315000000003,b0027,annotated but not recovered in data
seq_b0027_3,shuffled annotated,-0.784380000000001,b0027,annotated but not recovered in data
seq_b0027_4,shuffled annotated,-3.52041,b0027,annotated but not recovered in data
seq_b0027_5,shuffled annotated,-0.272315000000003,b0027,annotated but not recovered in data
seq_b0027_6,shuffled annotated,-0.272315000000003,b0027,annotated but not recovered in data
seq_b0027_7,shuffled annotated,-3.52041,b0027,annotated but not recovered in data
seq_b0027_8,shuffled annotated,0,b0027,annotated but not recovered in data
seq_b0027_9,shuffled annotated,-0.272315000000003,b0027,annotated but not recovered in data
seq_b0028,annotated,-0.359835,b0028,annotated + recovered in data
seq_b0028_0,shuffled annotated,0,b0028,annotated + recovered in data
seq_b0028_1,shuffled annotated,0,b0028,annotated + recovered in data
seq_b0028_2,shuffled annotated,-0.359835,b0028,annotated + recovered in data
seq_b0028_3,shuffled annotated,0,b0028,annotated + recovered in data
seq_b0028_4,shuffled annotated,0,b0028,annotated + recovered in data
seq_b0028_5,shuffled annotated,0,b0028,annotated + recovered in data
seq_b0028_6,shuffled annotated,0,b0028,annotated + recovered in data
seq_b0028_7,shuffled annotated,0,b0028,annotated + recovered in data
seq_b0028_8,shuffled annotated,0,b0028,annotated + recovered in data
seq_b0028_9,shuffled annotated,0,b0028,annotated + recovered in data
seq_b0029,annotated,-8.489565,b0029,annotated but not recovered in data
seq_b0029_0,shuffled annotated,-6.856025,b0029,annotated but not recovered in data
seq_b0029_1,shuffled annotated,-3.60793,b0029,annotated but not recovered in data
seq_b0029_2,shuffled annotated,-1.06957,b0029,annotated but not recovered in data
seq_b0029_3,shuffled annotated,-4.730455,b0029,annotated but not recovered in data
seq_b0029_4,shuffled annotated,-4.467295,b0029,annotated but not recovered in data
seq_b0029_5,shuffled annotated,-3.60793,b0029,annotated but not recovered in data
seq_b0029_6,shuffled annotated,-8.489565,b0029,annotated but not recovered in data
seq_b0029_7,shuffled annotated,-5.41711,b0029,annotated but not recovered in data
seq_b0029_8,shuffled annotated,0,b0029,annotated but not recovered in data
seq_b0029_9,shuffled annotated,-3.656465,b0029,annotated but not recovered in data
seq_b0030,annotated,-5.24147,b0030,annotated + recovered in data
seq_b0030_0,shuffled annotated,-2.729315,b0030,annotated + recovered in data
seq_b0030_1,shuffled annotated,-3.120075,b0030,annotated + recovered in data
seq_b0030_2,shuffled annotated,-0.784380000000001,b0030,annotated + recovered in data
seq_b0030_3,shuffled annotated,-1.99672,b0030,annotated + recovered in data
seq_b0030_4,shuffled annotated,-1.06957,b0030,annotated + recovered in data
seq_b0030_5,shuffled annotated,-2.68108,b0030,annotated + recovered in data
seq_b0030_6,shuffled annotated,-0.359835,b0030,annotated + recovered in data
seq_b0030_7,shuffled annotated,-3.120075,b0030,annotated + recovered in data
seq_b0030_8,shuffled annotated,0,b0030,annotated + recovered in data
seq_b0030_9,shuffled annotated,-1.06957,b0030,annotated + recovered in data
seq_b0031,annotated,-0.359835,b0031,annotated + recovered in data
seq_b0031_0,shuffled alternative,0,b0031,Unknown
seq_b0031_0,shuffled annotated,0,b0031,annotated + recovered in data
seq_b0031_1,shuffled alternative,0,b0031,Unknown
seq_b0031_1,shuffled annotated,0,b0031,annotated + recovered in data
