locus_tag	gene	start_position	strand	peak_R1	peak_R2	peak_R3	peak_R4	peak_R5
b0356	frmA	379571	-1	117.029	91.5483	94.6219	74.8616	64.9556
b0357	frmR	379881	-1	7.51116	11.8062	14.1986	14.7968	11.6296
b0358	yaiO	380842	-1	294.147	176.893	253.243	236.87400000000002	195.15
b4579	yaiX	382872	-1	16.2338	13.307	11.9734	16.0507	12.4806
b4579	yaiX	381260	-1	-	-	-	-	-
b0360	insC1	381351	1	-	-	-	-	-
b0361	insD1	381674	1	-	-	-	-	-
b0363	yaiP	383935	-1	6.4208300000000005	6.20328	6.0397	8.77774	6.09845
b0364	yaiS	384616	-1	516.211	542.386	599.519	481.39599999999996	525.318
b0365	tauA	385232	1	54.6377	43.8231	41.1123	39.4998	38.4344
b0366	tauB	386207	1	-	-	-	-	-
b0367	tauC	386971	1	-	-	-	-	-
b0368	tauD	387795	1	-	-	-	-	-
b0369	hemB	389727	-1	7.995760000000001	11.0058	9.64232	11.6619	8.79312
b4580	yaiT	390251	1	16.7184	17.4092	6.3575800000000005	5.64283	16.168
b4580	yaiT	392970	1	-	-	-	-	-
b0372	insF1	392605	-1	-	-	-	-	-
b0373	insE1	392901	-1	-	-	-	-	-
b0375	yaiV	394506	1	19.2625	26.4139	15.2582	24.0761	31.6268
b0376	ampH	396287	-1	41.9171	43.623000000000005	29.6687	44.3903	43.5401
b0377	sbmA	396639	1	60.2105	80.9427	65.9069	80.1282	85.9456
b0378	yaiW	397872	1	40.3422	36.019	48.2116	43.6379	47.0857
b0379	yaiY	399333	-1	55.8491	50.8268	58.8076	55.6759	44.1074
b0380	yaiZ	399593	1	74.8694	103.855	89.7478	110.47399999999999	104.525
b0381	ddlA	400923	-1	268.342	202.707	290.647	227.218	223.94099999999997
b0382	iraP	401386	1	91.2243	137.673	131.072	131.29	102.11399999999999
b0383	phoA	401747	1	331.70300000000003	300.659	464.209	270.856	280.671
b0384	psiF	403281	1	84.0766	80.4425	65.2711	77.6203	74.7415
b0385	yaiC	403703	1	-	-	-	-	-
b0386	proC	405644	-1	234.78400000000002	144.076	194.43599999999998	147.466	149.483
b0387	yaiI	405764	1	30.8927	17.109	20.6621	14.1698	14.1824
b0388	aroL	406405	1	-	-	-	-	-
b0389	yaiA	406979	1	15.2646	18.6098	8.90061	17.8063	14.1824
b0390	aroM	407428	1	182.085	178.49400000000003	159.681	145.209	142.959
b0391	yaiE	408177	1	9.81297	10.0053	7.841010000000001	7.022189999999999	8.22582
b0392	ykiA	408609	1	-	-	-	-	-
b0393	rdgC	410019	-1	-	-	-	-	-
b0394	mak	410144	1	52.2147	66.5351	36.9799	55.6759	72.8978
b0396	araJ	412481	-1	5.93624	8.104280000000001	10.384	8.025360000000001	11.9133
b0397	sbcC	415753	-1	-	-	-	-	-
b0398	sbcD	416952	-1	-	-	-	-	-
b0399	phoB	417142	1	-	-	-	5.26664	-
b0400	phoR	417889	1	53.7896	45.1238	54.2513	42.2585	47.7948
b0401	brnQ	419591	1	-	-	-	-	-
b0402	proY	420986	1	13.6897	17.2091	21.6158	22.9475	20.99
b0403	malZ	422518	1	25.0776	33.5177	48.7414	36.4903	42.4055
b0404	acpH	424918	-1	103.21799999999999	167.188	115.28399999999999	103.70299999999999	95.306
b0405	queA	425011	1	-	-	-	-	-
b0406	tgt	426137	1	337.51800000000003	232.82299999999998	335.786	249.915	296.98
b0407	yajC	427287	1	15.3858	41.8221	25.8541	57.5569	61.5518
b0408	secD	427647	1	18.5356	17.8094	13.9867	17.8063	19.9972
b0409	secF	429505	1	23.5027	33.6178	18.9668	26.8348	51.9077
b0410	yajD	430605	1	-	-	-	-	-
b0411	tsx	432013	-1	-	-	-	-	-
b0412	yajI	432851	-1	11.3879	12.2064	9.53636	10.6587	11.9133
b0413	nrdR	433002	1	-	-	-	-	-
b0414	ribD	433455	1	-	-	-	-	-
b0415	ribE	434647	1	13.4474	18.8099	24.0528	25.8316	21.2737
b0416	nusB	435137	1	-	-	-	-	-
b0417	thiL	435634	1	-	-	-	-	-
b0418	pgpA	436589	1	-	-	-	-	-
b0419	yajO	438135	-1	41.1903	41.5219	28.2912	32.8538	38.1508
b0420	dxs	440177	-1	35.6175	23.2123	21.6158	21.5682	21.1318
b0421	ispA	441101	-1	44.218999999999994	42.3224	33.1654	35.9887	37.158
